Smiles,cid
C1COCCOCCOCCO1,CID1
COC(=O)OC(=O)OC,CID2
ClCC1(CCl)COC1,CID3
N=c1[nH]c2cc(I)ccc2o1,CID4
O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,CID5
C=C(Cl)C(Cl)=C(Cl)Cl,CID6
CC(C)(C)OOC(C)(C)C,CID7
ClCC(Cl)CCl,CID8
O=C1N(CO)C(O)=NC12CCCC2,CID9
COP(=S)(OC)SCCSC,CID10
Nc1ccsc1[N+](=O)[O-],CID11
CNP(=S)(NC)Oc1ccc(S(=O)(=O)N(C)C)cc1,CID12
N#CCCCC#N,CID13
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,CID14
OC[C@H]1O[C@@H](OCC2=C[C@H](N[C@H]3C[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,CID15
O=S(=O)(O)c1cccc(NS(=O)(=O)c2cc(I)c(I)c(I)c2)c1,CID16
CP(C)(=S)Oc1ccc([N+](=O)[O-])cc1,CID17
N=C(CSS(=O)(=O)O)NCC1CCCC1,CID18
CCOC(=S)SSSC(=S)OCC,CID19
S=c1c2[nH]c3ccccc3c2nc2scnn12,CID20
CC(=O)N1C(=O)N=C(O)C12CCCCC2,CID21
NCCCNCCSP(=O)(O)O,CID22
COc1cc(OC)cc(OC)c1,CID23
Brc1ccc(N/N=C/c2ccc3c(c2)OCO3)cc1,CID24
CCCNS(=O)(=O)N=[N+]=[N-],CID25
N=C(CSS(=O)(=O)O)NC[C@H]1C[C@H]2CC[C@@H]1C2,CID26
CCC1SCC(C)(C)N=C1O,CID27
N=c1[nH]c2cc(F)ccc2o1,CID28
C#CC(C)(C)O,CID29
CCOP(=S)(OCC)SCC1(C)SCCS1,CID30
CSc1nncc(-c2ccc(Br)cc2)n1,CID31
COc1ccc2c(c1OC)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,CID32
O=C(O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CID33
O=S(=O)(O)SCCNCCCCCC1CCCC1,CID34
O=C1CCC[C@@H]2[C@H]3C[C@@H](CN12)[C@@H]1CCCCN1C3,CID35
O=c1c(F)cnc(O)n1C1CCCO1,CID36
CS/C(=N/OC(=O)N(C)S(=O)OC[C@@]12OC[C@H]3OC(C)(C)O[C@H]3[C@@H]1OC(C)(C)O2)C(=O)N(C)C,CID37
COP(=S)(OC)SCC1(C)SCCS1,CID38
O=CCCCCCF,CID39
N#CSCSc1nc2ccccc2s1,CID40
ClC=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,CID41
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)C[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,CID42
CNC1(C)[C@H]2CC[C@H](C2)C1(C)C,CID43
O=CCCCCCCF,CID44
O=C1OC(Nc2ccc3c(c2)OCO3)c2ccccc21,CID45
COP(C)(=S)Oc1ccc([N+](=O)[O-])cc1,CID46
CCCO[C@H]1[C@@H]([C@H]2COC(C)(C)O2)O[C@@H]2OC(C)(C)O[C@H]12,CID47
c1ccc2c(c1)Sc1cccnc1N2CCN1CCCC1,CID48
N=C(CSS(=O)(=O)O)NC1CCCCCCC1,CID49
N=C(N)NC(=N)Nc1ccc(S(=O)c2ccc(NC(=N)NC(=N)N)cc2)cc1,CID50
O=C(Cl)OCCOC(=O)Cl,CID51
CCSCCSP(=S)(OC)OC,CID52
COP(=O)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,CID53
c1ccc(C(c2ccccc2)N2CCNCC2)cc1,CID54
O=C(O)CCC(=O)C12CC3CC(CC(C3)C1)C2,CID55
CN1CCN(c2cnn(C)c2N)CC1,CID56
Clc1ccc2ocnc2c1,CID57
Cn1c(-c2ccc([N+](=O)[O-])o2)nnc1S(C)=O,CID58
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,CID59
CN1CCN(c2nc(Cl)c(Cl)c(Cl)n2)CC1,CID60
CCC1(C(C)(C)[N+](=O)[O-])C(O)=NC(=O)N=C1O,CID61
N=C(S)C(c1ccccc1)c1ccc(-c2ccccc2)nn1,CID62
CSc1ccc(C(c2ccc(SC)cc2)C(Cl)(Cl)Cl)cc1,CID63
CCOP(=S)(OCC)SCCSCC,CID64
CC(O)(C#CCl)C1CC1,CID65
CCC1CSC(C)(C)C(O)=N1,CID66
CC1(C)[C@H]2CC[C@]1(CN1CCCC1)[C@@H](O)C2,CID67
CCOP(=S)(Cl)OC,CID68
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,CID69
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,CID70
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,CID71
N=C(O)/N=C1\OC(CCl)CS1,CID72
Cc1cn(C)c([N+](=O)[O-])n1,CID73
OCCCO,CID74
CCOP(=S)(OCC)SCCSC,CID75
C[C@@]12CC[C@@H](CC1=O)[C@]2(C)C=O,CID76
CNC1CN(C2c3ccccc3CCc3ccccc32)C1,CID77
COP(=S)(OC)Oc1ccc(SC#N)cc1,CID78
N[C@@H](CSCC(=O)O)C(=O)O,CID79
CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C/[C@H]([C@@H](C)O)OCC/C(C)=C\C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,CID80
CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,CID81
CS/C(C)=N/OC(=O)N(C)S(=O)O[C@H]1[C@@H]2OC(C)(C)O[C@@H]2CO[C@]12COC(C)(C)O2,CID82
SCc1ccccn1,CID83
O=C1OCCN1/N=C/c1c(N2CCCCC2)nc2n(c1=O)CCCC2,CID84
O=S1c2ccccc2N(CC2CN3CCC2CC3)c2ccccc21,CID85
CC(C)=CC1C(C(=O)O)C1(C)C,CID86
CC1Nc2cc(Cl)c(Cl)cc2S(=O)(=O)N1,CID87
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,CID88
Cc1ncc([N+](=O)[O-])n1CCOCCI,CID89
CCCCCCCCCCOC(=O)N(C)SN(C)C(=O)O/N=C/C(C)(C)SC,CID90
COc1cc2c3c(c1OC)[C@@H]1O[C@@H]1C[C@H]3N(C)CC2,CID91
CC(O)CC(C)(C)O,CID92
CC1(C)CC(N=C(O)C(F)(F)F)C(=O)O1,CID93
CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CID94
c1ccc2c(CC3=NCCN3)cccc2c1,CID95
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,CID96
C=C(C)C(=O)OCC(C)C,CID97
N#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,CID98
CN1CCN(CCc2nc(Cn3cnc4c3c(=O)n(C)c(=O)n4C)no2)CC1,CID99
c1ccc2c(c1)Sc1cccnc1N2CCN1CCOCC1,CID100
O=S(=O)(Nc1ccc(Cl)cc1)C(F)(F)F,CID101
CC/C=C(\CCC)C1(CC)C(O)=NC(=O)N=C1O,CID102
OCC(O)CCl,CID103
Cn1c(=O)n(-c2cnccn2)c2cnccc21,CID104
CCCSCCSP(=S)(OCC)OCC,CID105
N=c1[nH]c(N2CCC3(CC2)OCCCO3)cc(N)[n+]1[O-],CID106
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C(C)C)C(C)C)cc1,CID107
CC1SCC(C)(C)N=C1O,CID108
Clc1ccc(C(Cl)(Cl)Cl)cc1,CID109
COc1ccc(/N=N/C(=N/c2ccc(-c3nnc(S)o3)cc2)c2ccc(OC)cc2)cc1,CID110
COP(=S)(Oc1cc(Cl)cc(Cl)c1Cl)c1ccccc1,CID111
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,CID112
O=[N+]([O-])c1nccn1CCO,CID113
CN(C)CCCC1c2ccccc2CSc2ccccc21,CID114
CCC1(CC)C(O)C(C)(C)C1N(C)C,CID115
C=C1/C(=C/C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)C[C@@H](O)C[C@@H]1O,CID116
COc1c(Cl)nc(N2CCN(C)CC2)nc1Cl,CID117
O=c1oc2ccccc2c(O)c1-c1cccc2ccccc12,CID118
CC(O)=Nc1nc(C(F)(F)F)co1,CID119
CSC1=C(C#N)C(c2ccc(N(C)C)cc2)(c2cccnc2)C(=O)N1CCCN(C)C,CID120
CC(C)=CCC1(C(C)C)C(O)=NC(=O)N=C1O,CID121
CN(C)S(=O)(=O)CCN=C(O)N(CCCl)N=O,CID122
O=[N+]([O-])c1nccn1CC(O)CCl,CID123
C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](O)[C@H]12,CID124
C=CCCCCCCCCC(=O)O,CID125
CN(C)C[C@@]12CC[C@@H](C[C@@H]1O)C2(C)C,CID126
CN=C(O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CID127
CN=C(O)/C=C(\C)OP(=O)(OC)OC,CID128
O=C1c2ccccc2OCN1c1ccccc1,CID129
Nc1c(C2CCCO2)cnn1-c1ccccc1,CID130
CCCCOCC1CO1,CID131
CS/C(C)=N/OC(=O)N(C)SN(C)C(=O)OC(C)C,CID132
CCn1nc(C)cc1OC(=O)N(C)C,CID133
N[C@@H](CS)C(=O)O,CID134
CCN1CCOCC1,CID135
N=C1NCC(CN2CCN(c3ncccn3)CC2)O1,CID136
CCCC(C)(O)CC,CID137
CSc1c(Cl)nc(N2CCOCC2)nc1OC1CCN(C)CC1,CID138
COCCCN=C(S)N/N=C/c1cc(C)ns1,CID139
CCCC1CC(=O)N2CCSC2=N1,CID140
CN(C)CCN(C)C1=Nc2ccccc2Sc2ccc(Cl)cc21,CID141
O=c1nc(O)c(F)cn1[C@H]1C[C@H](O)[C@@H](CO)O1,CID142
CN(/N=C/c1ccc([N+](=O)[O-])o1)C(=N)O,CID143
C[C@@]1(C(=N)O)C[C@@H]2C=C[C@H]1C2,CID144
O=C1N=C(O)CCC1N1Cc2ccccc2C1=O,CID145
C/C=C/COCC(O)COC/C=C/C,CID146
N=C(CSS(=O)(=O)O)NCCCCCCO,CID147
C[C@H](O)[C@H](O)C(Cl)(Cl)Cl,CID148
COP(=S)(Oc1c(Cl)cc(Cl)cc1Cl)c1ccccc1,CID149
CN1CCN(Cc2nnc3c4c(cnn23)Sc2ccccc2N4)CC1,CID150
CCCC(C)C1(CC)C(O)=NC(=O)N=C1O,CID151
S=C(c1ccccc1)N1CCOCC1,CID152
CCN(CC)CCc1nc(CCn2cnc3c2c(=O)n(C)c(=O)n3C)no1,CID153
N=c1[nH]c2cc(Br)c(Cl)cc2o1,CID154
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,CID155
CC(C)c1cc2c(s1)Nc1ccc(F)cc1N=C2N1CCN(C)CC1,CID156
COP(=S)(OC)Oc1ccccc1S(=O)(=O)N(C)C,CID157
CCN(CC)CCN=c1[nH]c(N(C)C)nc(Cl)c1SC,CID158
NC1Cc2cc(Cl)ccc2Sc2ccccc21,CID159
CCc1nn2c(=S)c3[nH]c4ccccc4c3nc2s1,CID160
O=C(O)COc1c(I)cc(I)cc1I,CID161
Cc1ncc([N+](=O)[O-])n1CCO,CID162
CC(C)(S)C(NC1=NCCC1)C(=O)O,CID163
O=S1(=O)CCN(c2ccc(OC[C@@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CID164
FC(F)(F)c1ccccc1,CID165
CC(C)(S)C(O)=N[C@@H](CS)C(=O)O,CID166
CCCCCCCCCCCC[N+]1([O-])CCCCC1,CID167
CN1CC(Cc2ccccc2)OC1=O,CID168
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CID169
CC(=O)SCc1cnc(C)c(O)c1CO,CID170
CN1CCN(C2Cc3ccccc3Sc3ccccc32)CC1,CID171
CC(=O)N1C(=O)N=C(O)C12CCC(C)CC2,CID172
CC(N)Cc1ccc2c(c1)OCO2,CID173
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,CID174
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)C(C)C,CID175
CCC(C)(O)C#CCl,CID176
CC(C)OCC(O)COC(C)C,CID177
CCOP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,CID178
Cc1ccccc1OP1(=O)OCc2ccccc2O1,CID179
CCCCC1C/C=C/C=C\C=C\C=C\C(O[C@@H]2O[C@H](C)[C@H](O)[C@H](N)[C@@H]2O)CC2OC(O)(CC(O)CC3OC3/C=C/C(=O)O1)CC(O)C2C(=O)O,CID180
COC(C)(C)CC(C)O,CID181
CSc1nn2c(=O)c3[nH]c4ccccc4c3nc2s1,CID182
CCCCCCCCC(C/C=C/Cl)CCCN,CID183
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,CID184
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1,CID185
CC1(C)CSC(/C=C/c2cccnc2)=N1,CID186
Fc1cccc(/C=N/Nc2ccc(Br)cc2)c1,CID187
CC(=O)[C@H]1C[C@]2(C)C3(CO3)[C@H]1O[C@H]1C=C(C)C(=O)[C@H](O)[C@]12CO,CID188
C/C=C/C1(CCCC)C(O)=NC(=O)N=C1O,CID189
C=CCN1CCN(C2CN(/N=C/c3ccc([N+](=O)[O-])o3)C(=O)O2)CC1,CID190
[C-]#[N+]C(=C\c1ccc(O)cc1)/C(=C/c1ccc(O)c(O)c1)[N+]#[C-],CID191
COc1cccc(OC(c2ccccc2)C2CNCCO2)c1,CID192
Brc1cccc(N/N=C/c2ccccc2)c1,CID193
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCC(OC(=O)CCC(=O)O)S1,CID194
CC/C=C(\C)C1(C(C)C)C(O)=NC(=O)N=C1O,CID195
CN(c1c(Cl)cc(F)cc1Cl)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,CID196
CC(O)=Nc1ccsc1[N+](=O)[O-],CID197
CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,CID198
CCC1(C(C)C=C(C)C)C(O)=NC(=O)N=C1O,CID199
C/C(Cc1ccccc1)=N\NC(=N)N[N+](=O)[O-],CID200
O=c1ccc(Oc2ccc(F)cc2)nn1CCO,CID201
NNC(S)=Nc1ccccc1,CID202
Cc1ccc(C(C(=N)S)c2ccccc2)nn1,CID203
Clc1ccc([C@@]2(Cn3cncn3)OC[C@@H](COc3ccc(N4CCSCC4)cc3)O2)c(Cl)c1,CID204
CC[C@H](C)C1O[C@]2(C=C[C@@H]1C)C[C@@H]1CC(C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](N=C(C)O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,CID205
COc1ccc(Cc2csc(N3CCNCC3)n2)cc1OC,CID206
CC(O)C1CCCCC1,CID207
FC(F)(F)c1ccc(Cl)cc1,CID208
CCN(CC)C1=Nc2ccccc2-n2c(nnc2-c2ccccc2)C1,CID209
O=c1ccc2cc(Cl)ccc2o1,CID210
C/C=C(\C)C1(CCCC)C(O)=NC(=O)N=C1O,CID211
N=C(NC(S)=Nc1ccccc1)Nc1nc2ccc([N+](=O)[O-])cc2[nH]1,CID212
CC(O)=N[C@@H](CS)C(=O)O,CID213
COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@@H]3O[C@@H]5COC(c6ccccc6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CID214
c1ccc(Cc2csc(N3CCNCC3)n2)cc1,CID215
Cc1c(C)c(C(=O)Cn2ccnc2)c(C)c(C)c1Br,CID216
CC(O)CCl,CID217
N#CN=C(Nc1ccccn1)NC1CCCCC1,CID218
CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@H]1O[C@](O)([C@H](C)C(=O)O)[C@H](C)C[C@@H]1C)[C@H]1O[C@](C)([C@]2(O)O[C@@](CC)([C@H](C)O)C[C@H]2C)C[C@@H]1C,CID219
CC(O)CO,CID220
Cc1c(C)c(C)c(C(=O)Cn2ccnc2)c(C)c1C,CID221
CCCCN(CCCC)CCCC,CID222
CCOCCOCCO,CID223
CN(c1ccc(F)cc1Cl)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,CID224
CCC(=O)OC1C(C)(C)C(N(C)C)C1(C)C,CID225
O=[N+]([O-])c1ccc(-c2n[nH]c(N=C(O)C(Cl)Cl)n2)o1,CID226
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CID227
CCOP(=S)(OCC)O/C(=C/Cl)c1ccc(Br)cc1Cl,CID228
COc1ccc(C2Cc3ccc(OC)c4occ(c34)CCN2C)c2c1C1C(C#N)=C(N)SC1S2(=O)=O,CID229
CC(C)CO,CID230
NN1Cc2ccccc2CC1=O,CID231
C/C=C(\C)C(O)=NC(=N)O,CID232
OC1c2ccccc2CCc2ncccc21,CID233
CC1CC(c2ccccn2)(C(C)C)C(=O)O1,CID234
CCCC/C=C(\C)C1(CC)C(O)=NC(=O)N=C1O,CID235
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CID236
CCCCCCCCCCCCN,CID237
COc1cc2c(cc1O)C[C@@H]1NCCc3cc(OC)c(OC)c-2c31,CID238
N=C(O)OCCCl,CID239
C/C=C/Cn1c(=O)c2c(ncn2C)n(C)c1=O,CID240
COc1cc2c(cc1O)C[C@@H]1NCCc3cc(O)c(OC)c-2c31,CID241
Clc1ccc2c(c1)C1OC(CN3CCOCC3)OC1c1ccccc1O2,CID242
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCC1,CID243
COc1ccc(S(=O)(=O)Nc2nnc(C(C)(C)C)s2)cc1,CID244
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,CID245
O=C(O)CCCCCCCCCl,CID246
O=[N+]([O-])c1cc(-c2nnc(-c3ccc(Cl)c([N+](=O)[O-])c3)o2)ccc1Cl,CID247
C/C(=N\OC(=O)N(C)C(=O)CCl)SCCC#N,CID248
CO[C@H]1CC[C@H](O[C@@H]2C[C@@H]([C@@H](C)/C=C(\C)C(=O)[C@H](C)C[C@H](C)C(=O)O)O[C@@]3(CC[C@@](C)([C@H]4CC[C@@H](C)[C@@]5(O[C@@H]([C@H]6O[C@@](O)(CO)[C@H](C)C[C@@H]6C)C[C@@H]5C)O4)O3)C2C)O[C@@H]1C,CID249
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCC(OC(=O)CN2CCOCC2)S1,CID250
CCOP(=S)(OCC)SCC(=O)N(C(C)C)C(C)C,CID251
CC(C)/C=C/C(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,CID252
O=C1CN=C(c2ccccc2F)c2cc(F)ccc2N1C1CCNCC1,CID253
COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1[C@@H](N=C(C)O)CC2,CID254
Clc1ccc(/C=N/Nc2ccc(Br)cc2)c(Cl)c1,CID255
COc1ccc(CCl)cc1OC,CID256
CCOC(=O)C1(n2cncn2)c2ccccc2-c2ccccc21,CID257
CC(O)CCCCO,CID258
CCC(=O)O[C@@H]1CC(=O)O[C@H](C)C[C@@H]2O[C@H]2/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC,CID259
COP(=S)(OC)Oc1ccc(SC)c(C)c1,CID260
CCOP(=S)(OCC)SC(SCC)c1ccccc1,CID261
Cn1c(N=C(O)CCl)nnc1-c1ccc([N+](=O)[O-])o1,CID262
CNS(=O)(=O)c1cc2c(c(C(O)=NC3CCN(C4CCCCC4)C3)c1)OCCO2,CID263
Nc1c(-c2ccncc2)cnn1-c1ccccc1,CID264
CCCCc1cnc([N+](=O)[O-])n1C,CID265
Cc1ncc(COP(=O)(O)O)c(CO)c1O,CID266
CO/N=C/C1=CCCN(C(=O)OCCc2ccccc2)C1,CID267
ClC(Cl)(Cl)c1cccc(C(Cl)(Cl)Cl)c1,CID268
CN(c1ccc(Cl)cc1Cl)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,CID269
O=C(c1cc(-c2ccccc2)c(=O)n2c1-c1sccc1C2)N1CCOCC1,CID270
CCC(C)COCC(O)CNC(C)C,CID271
COc1ccc2sc(O)nc2c1,CID272
CC(=O)C(C)(C)C,CID273
CC(C)N=C(O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CID274
O=C1c2cc([N+](=O)[O-])ccc2OCN1c1ccccc1,CID275
CC(O)=Nc1nc(-c2ccc([N+](=O)[O-])o2)nn1C,CID276
CCC1(CC)C(O)=NC(=O)N=C1O,CID277
CC(=N)c1c(O)nc(O)c2c1CCCC2,CID278
O=c1oc2ccccc2c(O)c1-c1ccccc1,CID279
Oc1nc2c(Cl)c(Cl)c(Cl)cc2o1,CID280
COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,CID281
CC1CN(CC2CN(/N=C/c3ccc([N+](=O)[O-])o3)C(=O)O2)CCO1,CID282
OC(CCCl)=NC1=Nc2ncccc2C(O)=NN1,CID283
C/C(=N/NC(=O)c1ccnc(C)c1)c1cccs1,CID284
CC(=O)OC(C)(C)/C=C/C(=O)C(C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,CID285
ClCCN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,CID286
COc1ccc2c(c1OC)C(=O)OC2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,CID287
N#Cc1c(Cl)c(C#N)c(Nc2ccc(Cl)c(Cl)c2)c(C#N)c1Cl,CID288
COc1ccc(-c2nnc(N3CCN(C)CC3)nc2-c2ccc(OC)cc2)cc1,CID289
CCCC(C)(C)C(O)=NC(=N)O,CID290
O=C1c2ccccc2OCN1c1ccc([N+](=O)[O-])cc1,CID291
CC(C)NNC(=O)c1ccc(S(=O)(=O)C(C)C)cc1,CID292
O=C(c1ccccc1)c1ccc2c(c1)CCO2,CID293
CN1CCN(C(=O)OC2C3=C(OCCS3)C(=O)N2c2ccc(Cl)cn2)CC1,CID294
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CID295
OC(c1ccccc1)(c1ccccc1)C1CCCCN1,CID296
CC(=O)Oc1c(I)cc(I)cc1C(=O)O,CID297
CCN(CC)/C(C)=N\N=C\c1c2c(O)c3c(O)c(C)c4c(c3c1O)C(=O)[C@@](C)(O/C=C\[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C\C=C(\C)C(O)=N2)O4,CID298
CCC(=O)CCC(C)(C)C(CC)N(C)C,CID299
Cn1c(=O)oc2ccc(Cl)cc2c1=O,CID300
CCCCCCOC(=O)N(CC)SN(C)C(=O)O/N=C(\C)SC,CID301
COc1ccc(CCC(O)c2c(OCCN3CCCC3)c(OC)c3occc3c2OC)cc1,CID302
COc1ccc(/C=C(\C)C2=NC(C)(C)CO2)cc1,CID303
